_id,objectid,code,acres,sqmiles,created_user,created_date,last_edited_user,last_edited_date,landslideprone,shape_length,shape_area,Area
5116,1,p,911.371,1.424,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,119881.121,39699313.29,Perry South
5117,2,p,721.516,1.127,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,110063.007,31429218.64,Brighton Heights
5118,3,p,19.157,0.03,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,4699.170856,834469.9123,Perry North
5119,4,p,24.743,0.039,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,13405.20294,1077809.9,Morningside
5120,5,p,453.695,0.709,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,103794.3595,19762956.5,Stanton Heights
5121,6,p,246.52,0.385,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,59364.28861,10738419.73,Lincoln Lemington Belmar
5122,7,p,9.586,0.015,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,2911.496082,417559.4896,Northview Heights
5123,8,p,3.9,0.006,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,2593.456605,169876.9828,Spring Hill City View
5124,9,p,111.811,0.175,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,39007.57345,4870502.774,Troy Hill
5125,10,p,84.537,0.132,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,19646.04678,3682433.93,Marshall Shadeland
5126,11,p,1.654,0.003,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,1227.278478,72036.70612,Spring Hill City View
5127,12,p,13.71,0.021,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,6205.302264,597201.4979,Central Northside
5128,13,p,6.246,0.01,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,2590.862596,272089.9407,Central Northside
5129,14,p,5.535,0.009,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,3685.238816,241110.0242,Allegheny Center
5130,15,p,43.316,0.068,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,16863.72553,1886842.034,Manchester
5131,16,p,568.816,0.889,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,126100.7885,24777611.81,Esplen
5132,17,p,44.423,0.069,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,14959.91934,1935050.869,Sheraden
5133,18,p,38.777,0.061,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,18260.86879,1689104.994,Lower Lawrenceville
5134,19,p,516.954,0.808,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,72229.61222,22518519.02,Strip District
5135,20,p,13.429,0.021,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,5898.406534,584961.385,Sheraden
5136,21,p,8.417,0.013,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,5572.126636,366625.3623,North Shore
5137,22,p,1054.607,1.648,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,149761.9844,45938672.44,South Side Slopes
5138,23,p,120.328,0.188,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,46847.51309,5241479.919,Bluff
5139,24,p,173.118,0.27,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,42293.94896,7541034.065,North Oakland
5140,25,p,205.988,0.322,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,40990.15492,8972818.553,Squirrel Hill South
5141,26,p,200.483,0.313,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,53577.13184,8733023.765,Squirrel Hill South
5142,27,p,192.413,0.301,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,40792.34415,8381500.609,Ridgemont
5143,28,p,186.041,0.291,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,44161.51111,8103961.145,Beechview
5144,29,p,525.429,0.821,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,83709.22882,22887674.68,Hazelwood
5145,30,p,49.62,0.078,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,13696.81614,2161441.165,Mt. Washington
5146,31,p,89.803,0.14,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,22013.52521,3911807.656,Brookline
5147,32,p,113.537,0.177,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,16895.73639,4945691.662,Arlington
5148,33,p,93.202,0.146,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,19358.50205,4059882.072,Hays
5149,34,p,12.22,0.019,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,4518.13412,532310.4205,Brookline
5150,35,p,19.897,0.031,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,9889.071644,866702.7841,New Homestead
5151,36,p,216.452,0.338,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,42631.1082,9428644.924,Hays
5152,37,p,280.649,0.439,pgh.admin,3/19/2018 19:03,pgh.admin,3/19/2018 19:03,Yes,36743.19381,12225066.99,Hays
