_id,TRI_FACILITY_ID,DOC_CTRL_NUM,FACILITY_NAME,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_COUNTY_FIPS_CODE,STATE_ABBR,ZIP_CODE,REGION,FAC_CLOSED_IND,ASGN_FEDERAL_IND,ASGN_AGENCY,PARENT_CO_DB_NUM,PARENT_CO_NAME,STANDARDIZED_PARENT_COMPANY,EPA_REGISTRY_ID,TRADE_SECRET_IND,REPORTING_YEAR,CAS_NUM,ELEMENTAL_METAL_INCLUDED,TRI_CHEM_ID,CHEM_NAME,METAL_IND,PBT_IND,LIST_3350,CARCINOGEN,CLEAN_AIR,PRIMARY_SIC_CODE,SIC_CODES,PRIMARY_NAICS_CODE,NAICS_CODES,INDUSTRY_CODE,SRS_ID,PFAS_IND,ENVIRONMENTAL_MEDIUM,RELEASE_RANGE_CODE,REL_EST_AMT,RELEASE_NA,RELEASE_BASIS_EST_CODE,TOTAL_RELEASE
487972,15204PRTTSTABOR,1300140000694,PRUETT-SCHAFFER CHEMICAL CO INC.,3327 STAFFORD ST,PITTSBURGH,ALLEGHENY,42003,PA,15204,3,0,C,,,NA,PRUETT-SCHAFFER CHEMICAL CO INC,110000329528,0,2000,1330-20-7,NA,0001330207,Xylene (mixed isomers),0,0,Y,N,Y,2851,2851,325510,325510,325,84970,0,AIR STACK,,,0,E,390
487973,15104PCMTL11TAL,1300140029834,EPIC METALS CORP,11 TALBOT AVE,RANKIN,ALLEGHENY,42003,PA,15104,3,0,C,,,NA,,110001214365,0,2000,1330-20-7,NA,0001330207,Xylene (mixed isomers),0,0,Y,N,Y,3441,3441,332312,332312,332,84970,0,AIR STACK,,,0,C,3964
487974,15104PCMTL11TAL,1300140029846,EPIC METALS CORP,11 TALBOT AVE,RANKIN,ALLEGHENY,42003,PA,15104,3,0,C,,,NA,,110001214365,0,2000,78-93-3,NA,0000078933,Methyl ethyl ketone,0,0,Y,N,N,3441,3441,332312,332312,332,7443,0,AIR STACK,,,0,C,1497
487975,15233ZMMRM2020K,1300140055195,E.E. ZIMMERMAN CO,2020 KNOTT ST,PITTSBURGH,ALLEGHENY,42003,PA,15233,3,0,C,,613251131,ZIMMERMAN HOLDING CO,,110000329724,0,2000,78-93-3,NA,0000078933,Methyl ethyl ketone,0,0,Y,N,N,5169,5169,424690,424690,4246,7443,0,AIR STACK,,,0,C,133
487976,15233ZMMRM2020K,1300140055207,E.E. ZIMMERMAN CO,2020 KNOTT ST,PITTSBURGH,ALLEGHENY,42003,PA,15233,3,0,C,,613251131,ZIMMERMAN HOLDING CO,,110000329724,0,2000,67-56-1,NA,0000067561,Methanol,0,0,N,N,Y,5169,5169,424690,424690,4246,4283,0,AIR STACK,,,0,C,640
487977,15233ZMMRM2020K,1300140055219,E.E. ZIMMERMAN CO,2020 KNOTT ST,PITTSBURGH,ALLEGHENY,42003,PA,15233,3,0,C,,613251131,ZIMMERMAN HOLDING CO,,110000329724,0,2000,95-63-6,NA,0000095636,"1,2,4-Trimethylbenzene",0,0,N,N,N,5169,5169,424690,424690,4246,16261,0,AIR STACK,,,0,C,29
487978,15233ZMMRM2020K,1300140055221,E.E. ZIMMERMAN CO,2020 KNOTT ST,PITTSBURGH,ALLEGHENY,42003,PA,15233,3,0,C,,613251131,ZIMMERMAN HOLDING CO,,110000329724,0,2000,108-88-3,NA,0000108883,Toluene,0,0,N,N,Y,5169,5169,424690,424690,4246,25452,0,AIR STACK,,,0,C,242
487979,15233ZMMRM2020K,1300140055233,E.E. ZIMMERMAN CO,2020 KNOTT ST,PITTSBURGH,ALLEGHENY,42003,PA,15233,3,0,C,,613251131,ZIMMERMAN HOLDING CO,,110000329724,0,2000,1330-20-7,NA,0001330207,Xylene (mixed isomers),0,0,Y,N,Y,5169,5169,424690,424690,4246,84970,0,AIR STACK,,,0,C,22
487980,15233ZMMRM2020K,1300140055245,E.E. ZIMMERMAN CO,2020 KNOTT ST,PITTSBURGH,ALLEGHENY,42003,PA,15233,3,0,C,,613251131,ZIMMERMAN HOLDING CO,,110000329724,0,2000,100-41-4,NA,0000100414,Ethylbenzene,0,0,N,Y,Y,5169,5169,424690,424690,4246,19406,0,AIR STACK,,,0,C,1
487981,15139TRNGL931TH,1300140060462,GLOBAL CIRCUITS INC.,931 3RD ST,OAKMONT,ALLEGHENY,42003,PA,15139,3,0,C,,,MBG TECHNOLOGIES INC.,MBG TECHNOLOGIES INC,110000329396,0,2000,7440-50-8,NA,0007440508,Copper,1,0,N,N,N,3672,3672,334412,334412,334,150086,0,AIR STACK,,,1,,
487982,15139TRNGL931TH,1300140060474,GLOBAL CIRCUITS INC.,931 3RD ST,OAKMONT,ALLEGHENY,42003,PA,15139,3,0,C,,,MBG TECHNOLOGIES INC.,MBG TECHNOLOGIES INC,110000329396,0,2000,7664-41-7,NA,0007664417,Ammonia,0,0,N,N,N,3672,3672,334412,334412,334,152389,0,AIR STACK,4,749.5,0,O,
487983,15139TRNGL931TH,1300140060486,GLOBAL CIRCUITS INC.,931 3RD ST,OAKMONT,ALLEGHENY,42003,PA,15139,3,0,C,,,MBG TECHNOLOGIES INC.,MBG TECHNOLOGIES INC,110000329396,0,2000,128-04-1,NA,0000128041,Sodium dimethyldithiocarbamate,0,0,N,N,N,3672,3672,334412,334412,334,34462,0,AIR STACK,,,1,,
487984,15025TYKRF301BR,1300140068343,LARGE PLANT OF TYK AMERICA INC,301 BRICKYARD RD,CLAIRTON,ALLEGHENY,42003,PA,15025,3,0,C,,,NA,,110000328841,0,2000,107-21-1,NA,0000107211,Ethylene glycol,0,0,N,N,Y,3297,3297,327125,327125,327,24257,0,AIR STACK,,,0,O,982
487985,15025TYKRF301BR,1300140068356,LARGE PLANT OF TYK AMERICA INC,301 BRICKYARD RD,CLAIRTON,ALLEGHENY,42003,PA,15025,3,0,C,,,NA,,110000328841,0,2000,108-95-2,NA,0000108952,Phenol,0,0,N,N,Y,3297,3297,327125,327125,327,25510,0,AIR STACK,,,0,O,140
